Genes
TM7SF3
ELAVL4
WWTR1-AS1
RAB30
MBTPS2
LILRP2
SPANXA2
LINC00474
ADAM21
UGT3A2
WDR86-AS1
CDCA8
IBTK
ANKAR
AZU1
LCN2
FYTTD1
HMGN5
MIOS
GHR
CDC37
RINT1
GFER
SH3PXD2B
HMGN1
C2ORF88
KIF23
SUFU
RRS1-DT
ATXN1L
H2BC13
ALDH3A2
PI15
TMEM183A
PRPSAP2
ATP6V1G3
NTPCR
PCDH7
KCNK15
EML6
SNORD56B
RNGTT
RMND1
GOSR1
KIAA1671
TMEM18
HELZ
TOMM22
MTOR
SERPINB5
SLC9A7P1
GPR108
KLK1
TPSB2
SPTSSB
MAP4K1
ST8SIA6-AS1
CLMP
DECR2
RAD51-AS1
NRTN
AIFM1
LINC01213
SCARA5
GNPDA1
LAMB1
LINC02035
ZNF790
NOD1
RPL7L1
CSNK1G1
GVQW3
PRG3
ANP32E
GLUD1P2
PXYLP1
ASMTL
SETD5
CCT6P3
ANKRD36BP2
MPC1L
CATIP-AS1
RPLP0P2
DSTYK
IRAK2
OR8K5
OR52N4
GK3
ACTL6A
ZNF705G
DNAJA4
ADAM12
PPP1CB
TEKT2
LINC02995
SGCZ
SECISBP2L
NBPF11
LINC00574
LRRC37A2
HSPA1A
B3GALT1
ARID3A
PAK1
ASNS
VMA21
TNIP1
PLCG1
CAHM
APC2
PRR32
PTPRE
ENPP2
SOS1
PWWP2B
SLC35E1
PLCL1
MAP3K15
NOTUM
CDIP1
TRPV6
RPL27
MYC
GOLT1B
LINS1
LYG2
SNORD12
EPSTI1
FOXQ1
ZNF804A
NOS1AP
CD34
PANK1
CTU1
PNLDC1
DDX31
FBRS
GABRR2
GAGE12I
LIAT1
TAB1
RCBTB2
APOH
ITIH4
MKRN2
RB1-DT
ZKSCAN3
TBR1
H4C2
RASGRF1
GPD2
TMEM190
TPPP3
WIF1
LINC01387
AKAIN1
KLHL24
PTGIS
SEC24A
YDJC
RXFP3
COL27A1
SLFNL1-AS1
DHRS4L2
HEY1
ACLY
ZNF354B
METTL17
F8A2
SLC9A3
BHMT2
SORBS1
TXNDC12
NEK8
TMEM14EP
NR2F6
PROZ
PAFAH2
NDP
ELAVL3
NMUR2
CD244
INS
UBE2QL1
HAPSTR2
FAM111A-DT
TBC1D17
SYT2
ZBTB41
LMBRD1
VMP1
MED27
MSI1
OR1L3
RNF11
PPCDC
PRELID2
MOCS2
SAMM50
MBNL3
DBNDD2
DCPS
ERICH2-DT
PRR19
PYGO1
SDS
CCDC80
SMG8
DCP2
ZNF503-AS2
KDM5C
SLC25A48
ZNF181
KBTBD11
SYPL2
CNRIP1
RAB6C
SV2A
SLC35D1
ZNF207
ATP8B3
GLYR1
SPANXD
DMXL2
PMEL
GLT6D1
H4C13
EPCAM-DT
TNFSF13B
MMP19
ANK2
PACRG-AS2
THPO
CCDC28A
CCDC81
MAP2K5
RASAL2
SNTA1
HYPK
OR11L1
ZNF345
LINC01950
PDYN
PDE9A
HSPA1L
CNOT9
MRPS27
FZD10
CALML3
FZD2
TMEM121
EIF2S3
NFIA
TMPRSS12
OR5AC2
FGF18
KRT85
PRDM12
GART
MAN1B1
CHAF1A
ARL3
PIWIL3
SERPINA9
PABPC1L2B
CGB3
KIRREL1
HSD17B6
DEFB128
GOLIM4
MAP2K2
DHDH
ADCY10P1
MPPED1
ZDHHC2
SIX6
XXYLT1
EDEM3
TBC1D10B
NPIPA7
TWNK
DLEC1
H2BW2
DNAH5
ATG16L1
TUBB3
OTOA
TERB1
FER1L6-AS1
SLFN14
TTC28
SURF2
FBXL7
IRF5
PNMA5
CFAP299
CLEC18A
RBBP9
EIF4G1
SIRT6
ADAM5
XPO7
SMAD9
ABCA12
GUK1
SCNN1A
ABHD10
STH
PITRM1
PLPP5
LARGE1
SIPA1
CYP3A43
ARVCF
KAT7
OR5A1
SIK1
CSAG4
PARPBP
TUBE1
FMO5
C5ORF34
TNFAIP2
LINC02080
EGFL6
OPN1MW
CD80
LEUTX
BIN2
CHODL
E2F5
OR10V2P
TRIP4
MSR1
PAAF1
ZFP57
MANCR
KLHL4
HOXA7
RUBCN
LCT
MYL10
MMP12
CHI3L2
MAP1S
NXT1
PKP4
CCDC144NL
NR5A2
OR5K1
H1-4
TAPBPL
FCRLB
CCNB1IP1
KRT10-AS1
OXCT2
LINC01209
FAM174A
PCDHB2
IL17RE
LINC01126
SLIT3
PGR
LINC01432
SELENOV
TDRD10
FLVCR2-AS1
C1QTNF7
DAPK1
SERPINB9
CTDSP1
ZNF850
POLR2J2
CAPZB
XGY2
MYLK
FLT3LG
MYO1C
ZNF805
IKZF5
HTR6
GATA5
TNFAIP8
ZNF7
TMEM87B
THOP1
SAA4
CCL3
MAGI2-AS2
PCNX1
LMTK2
DCUN1D2
MTMR10
ADAMTSL5
CCDC22
PRR15L
OR52R1
DCTN2
SNORD108
PSD
AMZ2
LINC01630
CCDC115
ZNF775
OOSP2
C19ORF47
IGFL1
KLK10
UBE2Q1
CTF1
DEFA3
OR6K2
SUV39H1
MUSK
BAZ2B
SLC7A4
JHY
LGALS4
SHISA9
KLK11
FBXO8
LOC388282
UIMC1
DSCR4
TAS2R10
SNORD114-18
FAM81A
PLEKHH3
ANKRD66
LAMTOR5
MYO1A
NALF1
HOXB9
MYNN
CLNK
KIFC1
SUGT1P3
ARHGEF37
BHLHE40-AS1
SPINK8
CTAGE8
MAPRE3
GAL3ST4
GPR135
OR10H3
INSM1
SPRN
HSPA14
LINC00452
TEF
STAU1
XCL1
RANBP1
ESRRB
LINC02907
TAS2R13
HTR2C
CD63
SOX7
PRKAR1B-AS1
NPNT
PDE1C
NDUFA3
POLR1HASP
OR4K14
CYP1A2
WIPF1
ARL5C
ALPG
OTUD7A
ATP5F1E
ELOVL5
RPS6KA5
S100A2
ZNF711
CD37
MIA2-AS1
FNDC10
IL4
H3-3A
NENF
MTRF1
SAXO2
H3C11
MRRF
COQ5
UBXN7
LRRC4C
ATP1B3
DDIT4
CHD4
ATP5F1B
LCE2A
DHRSX
U2AF2
SMIM17
GPR26
TMCO6
IPO13
FLG2
AURKAIP1
CDAN1
FAF1
ZDHHC15
CNKSR3
CRIP3
COMMD7
COX14
CBLN2
TMED7
SUMO1
CEP70
MTHFD2L
ODAD4
COL6A2
GPX4
SRPRA
FGF22
MEOX2
AKAP13
RBBP8
BMPR1A
MAP2K7
EXOSC6
LIG1
ZNF99
TRMT112
SALL4
SNRNP27
LLGL2
SATL1
ZNRF3
HKDC1
SLC25A1
KRT222
CDKN3
MOCOS
ZNF648
ACTR10
CNOT7
RSPH14
LINC00937
OR7G2
ZNF503
ADD3-AS1
ICOS
FBXW4
HRCT1
OR51E2
SNRPF
MLIP
POLB
APOBEC3F
HSPE1-MOB4
RRP15
TENM4
NEDD4L
WNT6
TOMM20L
STAT5A
PARP12
HAGH
VMAC
SZRD1
REXO4
MYH15
LRRC61
LAPTM4B
CHURC1-FNTB
CAVIN3
DOCK5
POMT1
TNFRSF19
KLK13
METTL5
LILRB5
TRIM22
GDPD2
PJA2
BACE2
GPR173
CBARP
ZIC4
SYNCRIP
GIPR
FAM99B
FAM47E
CMPK1
ROR1-AS1
RFPL4AL1
ZMYND12
SOHLH2
COMP
STK17A
EREG
WAPL
EPS8
GUCY2F
HABP4
PIGV
REEP2
MRGPRX1
KCNJ8
CR1L
ZEB2-AS1
ZIM2
IVNS1ABP
INTS1
PFN2
PAGE5
ST20-MTHFS
LARP7
LINC00563
KRTAP24-1
HSPA8
DEFB127
RHOT1
ASCL1
SNORA3A
PIPOX
LINC01856
SDR16C6P
TSPAN9
MORN2
VSTM2A-OT1
LMO7DN
MYL12B
NDUFAF1
SLC30A10
PSAPL1
CCNL1
OIT3
NXF4
HLA-DMB
LINC03106
DNAH17
UTP15
RAB7A
POT1
ZNF133
ZNF17
SCUBE1
SLC38A8
TRABD2A
ZNF367
NEIL2
GREP1
PRAMEF7
SUCLG1
SLC2A4RG
CHRM5
CSNK2A3
TENT4A
YTHDF3-DT
DCAF10
ARHGEF38
GSTA4
HLA-DRA
HEPACAM2
NOL10
RHPN1
POC1B-GALNT4
FRAS1
TNFSF10
SBF1P1
FBXW12
MCM2
PRSS37
MFGE8
KRT31
RPL37A
OR56B1
ATP6V0B
PBDC1
BPIFA3
ZFPM1
KIRREL2
OR2T33
LYRM2
EFHD1
FRMD4A
FAM138A
RNF212B
DNMBP
ADGRL4
ACTG2
PGAP2
FRMPD2
CKS1B
ZNF215
PCID2
VWA5A
PPM1D
TARBP2
LINC01993
TST
CABIN1
JAKMIP2-AS1
TUBA8
OR11G2
FOSB
PRMT9
C15ORF62
C4ORF33
GPATCH3
C1QBP
HRH1
HMGA1
PYDC1
UBE4A
AEN
UBA52
KLLN
KRTAP9-8
IGSF1
CXCL6
SLC9A5
ZNF581
GPN1
SNORD95
BPTF
POLR2C
DMRTC1
DMC1
PCNX3
MRPS12
ZNHIT1
MICALL1
HLA-L
ZFYVE19
SDCBP2
SPTAN1
SRRM2-AS1
HMGN3
ZNF845
STN1
FAM110B
LINC01168
PELI1
SPATA31D3
HS3ST1
OR5M3
NRSN2
PPP2R5C
CLCN2
HIVEP3
LSM14B
LINC01512
HTR1B
PFDN2
STUB1
LINC03103
CATSPERD
DPY19L4
IL2
IGFN1
KCNG4
AKR1B15
SDR42E1
LINC01963
UNC80
IGDCC4
CLDN16
COPS5
PHF21A
ATL1
ZBTB8OS
SLC47A1
OR4N3P
LINC01816
ARMCX3
BAIAP3
TREH
C10ORF55
ZNF506
SST
USP17L17
FANCC
HPX
ZBTB3
KDM1A
LINC01843
M1AP
ADAMTS16-DT
PDZD2
HEXD
PF4V1
IGLL1
TRAF1
LSM10
CLPX
ACKR1
GRIK2
PPP2R2D
SLC16A14
TSSC4
MORC4
SYNE2
RPL27A
SLC7A6OS
PRKACB
KCTD13
CRPPA
TBC1D20
TUBGCP4
GARIN6
TMEM205
RHNO1
PTGFR
HMGB4
TNXB
MYF6
HLA-DMA
CELSR3
BAG4
LAMTOR1
EDRF1
HEXA
MS4A13
SNCAIP
CTNNBL1
CDK2AP1
SFMBT1
LRGUK
HSD3B2
NETO2
ABCC5
DYNLT3
OR4C16
TEDDM1
OR8D4
ZNF266
GRN
KTN1
KCNIP1
RPL4
KLF3
RPL14
OR5D16
BZW1
PMF1
DYSF
RPS2
CPT2
ATRIP
PGAM1
SLC6A6
KCNC4
MRPS31P5
PYGO2
AMOT
SLC38A4
SAMD9
RBPMS2
BLID
LMBRD2
SLC25A45
TMEM266
VSX2
PARP1
ROBO2
SORBS2
ALOX5AP
CYP2C18
IFT52
TASOR
SNORD99
DOK2
LINC01441
DDI2
FBXW2
OR6F1
ZNF419
ACE2
PLCE1
TSGA10IP
TRIM45
OR10AG1
CPEB1
STT3B
ANKRD24
SLC19A2
TRIM54
MIPOL1
ABCB11
SCGB1C1
C1QA
ADAM29
ZC2HC1A
SPINK5
CT83
ZFP14
ZNF770
FZD10-AS1
PRC1-AS1
TUT1
MROH8
FAM161A
OR10G9
NUDT2
TMEM210
C2ORF69
ZNF891
DNAJB8-AS1
SAP30L-AS1
C1QTNF9B
SLC6A15
DNAJC11
ZNF195
CDH10
KRT18P55
CIT
FOXO4
BTN2A2
OR2M4
LINC00324
FRMD8
NRBP2
XPO6
TXNDC17
LINC02873
ZNF280A
YIPF5
MDK
C16ORF95
IQGAP3
LINC02731
SPRYD4
MARCHF3
HGSNAT
SAFB2
ZNF691
GLB1L
KRT5
AKAP5
ACADVL
NUDCD2
FAM222A
TWIST1
TIGD4
PGLYRP1
GDNF
LOC93429
SNORD96B
DMAC2L
MED25
KIR3DL1
CCDC122
USP3
LOC730183
EYS
CRABP1
SLC22A7
EPPIN
ATP2A1
NT5C2
N4BP2L1
PBX1
GLUD1P3
ZNF34
OPN5
MKNK2
SSR4
GAD2
SLC25A14
C11ORF52
IQCD
GID4
PRR5-ARHGAP8
TTC23
OR7E24
GALNT7
PAGE1
C8ORF44-SGK3
RPS24
CISTR
ZNF43
TTC39C
CIMAP2
EIF2S2
ARSA
AOAH-IT1
RPS17
RCN1
MSH5
ODR4
LPCAT1
SUGT1P4-STRA6LP
MFSD14A
PCDH12
PSMA6
SUGT1P4-STRA6LP-CCDC180
LINC00606
LINC03093
TBC1D9
DMWD
TAS2R41
VPS41
ARRDC2
PSG9
SPIC
NAGLU
FRMD6-AS1
RBAK-RBAKDN
OR8B12
CCDC39
CD59
LINC00348
DDHD1
NATD1
UMODL1
DNAAF8
NKX1-2
RPL18A
MAP6
JUND
C17ORF75
LIN28A
DIAPH1
KPNA2
LINC00299
IRF6
REEP5
OPN1LW
LINC00839
CCDC180
RNF138
CLDN19
ITGAL
CLBA1
NLRC4
CUL4B
BRD3OS
AGBL4
SDR39U1
GRK2
PYCARD
EDA
SERTAD2
RRAGD
TBC1D8B
ZNF780A
WWC1
RO60
MTIF3
CSPG4
BIRC5
ACBD7
ZNF577
FFAR4
LINC02764
IPCEF1
PPIB
LINC01482
KRTAP2-2
SELENOS
GATA3
RIN2
TLCD4
NUDT7
ARMC5
MTRF1L
MRPL46
LINC01305
RRP7BP
INO80E
ZNF652
LINC01819
FAM107A
DLGAP3
GLI1
EGFLAM-AS2
RBM15
RAB10
RNF130
B4GAT1
LINC01204
PARP11
GDF15
ATP6V0E1
MMEL1
GCM1
RNF111
EYA4
MRTFA-AS1
RFLNB
SIAE
MAP1B
R3HDML
MAOB
TESC
DELE1
KCTD21
FAM156B
EXOC8
SLC1A3
QPCT
ST8SIA3
ZNF200
IL10RB
ZNF649-AS1
IFNA16
SLC26A5
SH2D5
ME2
EHBP1-AS1
CLEC2B
BCO2
C2ORF66
RNF126P1
HAUS7
COPS6
LRRC7
FAM47E-STBD1
IL22
ARHGDIG
OR2K2
KHDC1
TUBB8
APLN
DNAAF2
PZP
HRK
RPGRIP1L
ZP4
ABCC2
SUCO
PRIM1
COPA
CAPZA3
CCDC13-AS1
LZTR1
TMEM151A
SCPEP1
NEK1
LINC00471
ICAM2
APOC1P1
ADIPOQ-AS1
PNPLA2
ZNF583
TRIM52-AS1
LHCGR
RBM39
SNORA5B
PPDPFL
LOHAN2
TCF23
TCERG1L
PALMD
NUDT16L2P
LRRC32
CPB1
EIF2D
GRM8-AS1
VDAC1
GNRH2
MARCHF2
SENP8
UBE2D4
OTOP2
ATP6V1B1
HPF1
CNIH2
CLCN5
PRMT5
XNDC1N
RFTN1
CROCC
PHYHD1
TERB2
NIP7
CHUK
ASH1L
XKR8
SPRED3
LINC00689
CHST10
L3MBTL1
ZNF675
CEP250
IL11
VGLL2
SLC38A2
SNORD15A
SPAAR
SNX17
CCDC28B
ZNF716
GREM2
KIAA1671-AS1
MICA
CPVL
OR2T12
PRSS1
MAK
ROBO3
RCAN2
GAS8
TMEM135
FBXL22
MRPS18C
SYT1
KCNU1
PRR20A
HECW2-AS1
IKBKE
CAPRIN2
LINC00323
CYGB
LRRC73
ACAT2
LINC00320
LRMDA
LINC00676
MINDY4
FHL5
SLC48A1
KCTD20
PPP1R3F
GTF2E2
HRH4
MUTYH
CAP2
CASC8
SLC4A7
ADGRG7
TRIM68
LINC00174
CPLX3
GALNT2
SCAP
SEZ6L2
DHCR7
HARBI1
PRR23B
CTNNA1
NUP62
SEC62
SLC45A1
ZDHHC5
NEK11
PCK1
SOCS4
CSRP1
BCDIN3D-AS1
NOS2
GLA
GNPAT
RIPPLY1
CCDC136
OR10H5
GABRA3
PARS2
CFLAR-AS1
NCAPD3
RIF1
AJUBA
PSMD5
LRTM1
MAG
C8ORF88
RXRB
CCND2
AP1G1
SLC25A2
DISP1
SEMA6B
TMEM106B
SREK1
FAM170B
PRR12
PLAUR
OR5AR1
KRT3
PAGE3
COMMD10
MCUB
USP17L2
LRRC28
EPB41L2
KRTAP21-3
ZEB1-AS1
LINC02347
HLA-E
EPHA10
NR1H3
TAS2R16
ZBTB24
KCNAB1-AS2
UBE3C
TAAR3P
EHHADH
TTLL5
SLC25A38
OCM2
KIT
CDCA5
CCER1
RLIM
AKIRIN2
ERICH2
TRAPPC5
GABRA1
NSD3
TMEM44
CCSAP
ARL14EP
ST6GALNAC1
GAGE2C
MIR202HG
ZNF836
RBM33
TNFSF13
RPL22
ZSCAN26
SRGAP1
LTK
AGL
SNF8
RAD54B
TPP2
PRSS54
LRRC66
REM1
SHD
ANKRD46
ZNF354A
ADIPOQ
KCNJ10
R3HCC1L
MED28
RECQL
HPD
NAPA
GJB5
PAGE4
CEBPG
LNCOC1
LCP2
ARL8A
LRFN2
ACP5
EPHA5
A1BG-AS1
DEPDC4
PNPT1
ADCYAP1
OR2AE1
RAF1
HS1BP3
CFAP58-DT
SKIDA1
ZNF365
KIAA0753
CYB5R3
OGDHL
PRKCG
RAB11FIP1
ANHX
ZNF32-AS1
PDK4
LDHC
CCKBR
CCT8
FBXO11
CALM2
RANBP10
FZD5
ARB2A
TRMT10B
SQLE
SNORD115-30
CCDC8
ZNF335
LTB4R2
FLYWCH1
TTC13
JPT1
FASN
HADHB
ETNK1
PHIP
ZBTB42
HDAC3
GTSCR1
PSORS1C2
LRRC75B
TCEAL8
KCNH5
GPRC5A
OR52D1
NDUFA9
NPIPA1
PEX14
UGT1A10
DHX8
CD44
KIF7
GNB1L
RAB5B
ADPGK
TIMM23
UGT2B7
CAV3
CCDC3
MRPS18B
ASB12
LINC00473
ZNF524
MSX1
LINC00692
NLGN4X
PSAP
FMN2
AP4E1
ASXL2
CDK14
OAS1
WDR12
GTPBP2
IL13RA1
PREPL
ATP9A
FAM220A
PCDH9-AS3
RDH14
ZSCAN22
GRINA
PIGH
C8ORF34
C3ORF22
CENPBD1P
SPRR3
SIMC1
ROBO1
CACNA1G-AS1
NLRP6
MAPK8IP3
PISD
WFDC5
LINC02499
LINC01588
APEX2
IL1RAPL1
LARP6
CDKL2
PDXP-DT
CYTH1
PBRM1
PFKFB2
MFSD14B
UBIAD1
ZNF679
STAG3
GOLGA2
FER1L6
PLCXD3
GMIP
KRTAP4-6
ATP8A1
LRRTM3
EFHB
OR10H4
NDST4
RHEBL1
SAMD1
POLR1H
SEC14L6
ZNF823
SREK1IP1
MTCP1
MEF2D
HLA-DQB1
STAT2
XPOT
BCL2L15
ARF3
LRRC75A
LINC01502
INTS13
MYBPC2
ZNRF2
NCR3
MAP3K21
DAPP1
SERPIND1
MSLN
TIA1
TSPAN5
FAM180B
TCHHL1
MRPL34
ZSCAN1
STX5
SFXN2
ANAPC4
SLC22A12
NUDT17
S100A5
ZNF628
CHM
SEPTIN2
MGST1
POLH
SNORD114-30
SPINT4
SPDEF
LINC02026
SLC22A16
NOX1
CEP83-DT
PPP1R3E
OFD1
PSKH1
XPR1
RPA1
CFHR4
TBC1D9B
ELP1
TNS1
AMIGO2
LRCH2
TCP10L3
METTL26
RBP3
LINC02606
PET100
LYZL6
MTPAP
CPNE4
CSN2
NFKBIE
NOB1
GARIN4
COL4A2-AS1
LYPD6B
APBB3
PDE11A
MAGEE2
B3GALT2
PNPLA7
VCX2
SIGLEC10
CLECL1P
DTD1
WWP2
ZNF708
TRAF3IP2
ADCY5
RNF103-CHMP3
KCTD2
GUSBP11
ACBD4
SMIM3
DUSP26
SHMT1
BUD13
TBXT
HCG23
TRIM14
DPEP2
ABHD11
FLRT2
LBX2
GFI1B
MICU3
GAGE6
RPF1
LINC01192
TOM1
NDST2
CEP44
FCER1A
IDO1
C1ORF185
GP5
SH3GLB2
RTL10
LAMB3
LRRK1
OR2M1P
POLG
OTUB2
OR4L1
CAST
SHB
RFWD3
SH3GL1
LINC00254
LINC01405
FXYD1
SLCO4A1
NRIP3
ZMYND15
DGKE
OMA1
CELSR1
GNGT1
INTS4
ARHGAP28
COL9A1
MT1H
SLC2A1-DT
TBC1D4
SEC63
UBTF
TNFRSF10B
HCRTR2
DHX16
ESYT1
CHST13
PRRC2B
VAMP2
PPARA
GNAL
SFXN5
SIPA1L3
GTPBP3
PTP4A1
CNP
SNORD114-6
ZNF432
PABPC1L2B-AS1
RUNX1
MXD4
CNTNAP3B
SLX4IP
TP53I3
SPATA9
RNF144B
UQCC4
HACD2
KIZ
TOP1
NUP88
SPDL1
SCART1
DOT1L
UBE2A
TPH1
MCF2
UBA2
TRMT61B
ZNF175
NVL
RASAL2-AS1
SCYL2
ZG16B
ZNF638
KRTAP5-9
TPT1
FANCB
USP38
SNORD114-3
AURKB
SPAG1
PURG
CUL1
HDX
PACS2
HEATR4
CCDC126
SLC7A8
HEMGN
PTGDR2
ZNF816
RNF222
IL3RA
MAD2L1
FAM168B
IPO8
OR13C3
GRAMD1A
GJA3
UHRF1
C14ORF39
ARID5A
GCDH
CYYR1
SLC25A3
DBIL5P2
LIMS2
SLC26A11
TSGA13
LMLN
TMEM129
CPM
PRR20C
SNORD70
ATF6B
ATXN7L3
SOCS2-AS1
DENND5B-AS1
LINC02097
CWF19L2
LINC00272
KIF5B
GPR19
TTLL9
LINC00339
GLYATL3
H3C4
MBD2
ZNF662
IGSF8
IL12RB2
HERC4
CAPS2
LINC01699
MAP1LC3C
UBA5
SLC9A9-AS1
RAPGEF1
TMEM258
SSX4
KCNMB3
CCL7
FBXL18
ACAP2
MMADHC
DEF8
CNNM3
RIPPLY3
MYO1H
TEX261
CALCOCO2
SCARNA9L
SPZ1
ARRB2
HJV
DHRS2
RHOD
CMPK2
RTL1
TWIST2
PMCHL2
GTF2H4
CST13P
SHF
HDDC2
GOLGA7
CDIPTOSP
LINC01012
LRRC38
CCT7
SYT16
SNHG3
OR4F6
DBNDD1
CPA3
ADAM10
ZGPAT
IFNLR1
FAM86B3P
IRX2
ISCA1
SEC31A
ETS2
SIK2
AIMP1
SSR2
GALNT18
NPTX2
RAET1E-AS1
SLC43A1
RPS6KB2
RACK1
PCYT1B
HDGF
CHMP5
ITGAM
CALCA
GPT2
ALPK2
SSBP1
TMEM248
TMTC3
CEACAM4
LINC00398
CDH18
P3H1
OR10C1
DYNAP
OTUB1
PTGR1
RBM46
LRRC4
HAUS6
PSMA1
MIR124-1HG
MAP6D1
GBP4
KCNMB1
LINC01622
CRMP1
NHLRC1
PCDHB18P
MAU2
ZNF404
RNF170
COL15A1
CYLC2
OTUD4
HBB
CYREN
GOLGA7B
DHRS13
INHBA
DNAJC25-GNG10
SPEN-AS1
KDM3A
GZMM
SEPTIN10
SHISAL1
EVX1
PDGFC
STK16
OR4C45
IFITM5
CTRL
MTHFSD
TLCD2
TTC5
DDX5
OPRM1
CFAP97D1
BROX
PSG2
SNORD116-10
CXORF58
NEK3
LRRC1
FAM181A-AS1
NPAS4
MAP2K4
TCFL5
CLCF1
NOL7
RBMXL3
PNPLA1
PAQR6
SNORA33
GABRA2
C5ORF47
HSPA2-AS1
OR12D2
UBE2J1
CXCL17
ETS1
PLK3
ACTMAP
SSX5
HOXC13-AS
PRSS27
TRADD
ACTL10
FOXD4L5
SLC2A14
METTL15
SLC15A5
BBC3
TESPA1
WFDC6
VPS52
CAGE1
JMJD7
HSPB6
SNW1
OR1I1
ANKS1B
DKK4
PLBD1
TBXA2R
TMCO5A
PARD6B
NNT
SLC16A8
TSBP1
LINC00351
PKM
IRS2
CFAP53
SEMA3C
PNMT
CD300A
TRIM77
TIMM9
GMPPB
CLRN2
SYNPR-AS1
CACNA1D
GPR89A
PXMP4
LINC01599
ELAVL2
CSGALNACT1
PRKD1
ZNF286A
LTB
LMNTD1
TRMO
XKR3
PLXNB3
CWF19L1
CA11
PAK1IP1
HLF
TBX21
CT45A6
PPFIA1
SPINK13
SPATA31E1
ENKD1
LINC00583
PAMR1
DECR1
GLIPR1L2
ZNF621
SH3BP5-AS1
FAM21EP
TMEM255A
OTOL1
STMP1
FAM117B
MIA
ZNF140
PARM1
ME1
LINC01229
TRIM21
SLX1A-SULT1A3
CYP2W1
POLQ
ADIG
ZNF664
VIPAS39
ATP12A
COL24A1
PHACTR4
OTOP1
MAGOH-DT
FETUB
SOD2-OT1
IKBIP
SLC25A18
UGT1A7
NMU
PGAP1
ROS1
EMP2
TMEM64
ITGA5
PLA2G5
CSNK1D
HS6ST2-AS1
URAD
ZER1
SLC20A1
SAE1
ZDHHC13
VILL
KIRREL3-AS3
KLHL36
PCP2
LPGAT1
HLA-V
PWRN2
PGRMC2
MFSD11
FGFR3
ADAM7
NFXL1
PRR22
LRRC14B
BACH2
SPATA3
TRMT13
POP4
SIGLEC1
COX10-DT
RARB
BRWD1-AS2
MINDY3
PPP4R3A
SMC1A
AOC1
HLA-DRB6
ZAR1
CLDN3
STX1B
RRAS2
GIGYF1
FAM177B
STK26
SESN3
TUBB1
LNCRNA-IUR
NFATC2IP
SMARCD2
FAM138D
KCTD10
GPR182
C16ORF87
IZUMO4
CYP2C19
ZFP3
KLK4
BLTP2
TBCC
NICN1
LRRC8E
INA
ENSA
FGF13
RHOB
GUCA1B
OR6C65
SMIM31
ACSF2
ERVV-1
ZNF783
RAB8B
HIC2
MGAT4A
LINC02694
ERMP1
TBX18
ZNF772
ZNF878
NRBP1
HTR2A
BCL9L
TJP3
DHRS3
FBLN2
PSG7
ZNF396
CXXC5
PDE8A
SLC9C2
RRBP1
NUP98
INHBA-AS1
IL1RL2
NAIP
DEFB118
PCDHB13
LINC01366
HOXA10-AS
SNORD115-34
MEG3
TAF4
FGF13-AS1
ZFP36L1
PIDD1
ATF3
LINC03098
WASF3
MS4A8
EHD3
BBOF1
UNC93A
FAP
KY
H1-10
ZC3H7B
IQUB
TSPAN19
MFSD3
ZDHHC7
PON3
CPAMD8
TRIP13
ASB10
LINC01531
